year,state,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1970,illinois,56167,2808350,217792.339,84573.899,0.23,0.093,0.038,0.015,0.564,0.06,0.771,529770.327,455613.436,0,76514.551,92070.934,0.527,0.473,NA,NA,0.275,0.869,0.124,0,0.215,3.119,47.235,3513.54,0.005,0.002,0.001,0,0.007,0.001,0.008,0.004,0.004
1970,indiana,19514,975700,165309.373,80226.95,0.203,0.082,0.033,0.013,0.508,0.09,0.704,343807.303,334626.657,4451.074,70514.118,76346.202,0.654,0.346,NA,NA,0.238,0.915,0.083,0,0.195,3.189,46.566,1627.11,0.005,0.002,0.001,0,0.005,0.001,0.006,0.004,0.008
1970,iowa,9430,471500,165356.326,82997.156,0.194,0.078,0.032,0.013,0.495,0.096,0.686,266704.26,342721.035,4702.436,59213.08,71397.117,0.654,0.346,NA,NA,0.28,0.986,0.012,0,0.213,3.001,49.116,3029.953,0.009,0.004,0.002,0.001,0.009,0.002,0.012,0.007,0.012
1970,kansas,8867,443350,159120.658,69718.09,0.212,0.086,0.035,0.014,0.529,0.071,0.728,276567.996,339665.426,0,56547.373,59445.701,0.615,0.385,NA,NA,0.299,0.958,0.036,0,0.211,2.949,48.998,1329.866,0.004,0.002,0.001,0,0.004,0.001,0.005,0.003,0.007
1970,kentucky,3574,178700,116667.117,41786.081,0.228,0.092,0.037,0.015,0.564,0.049,0.763,227118.676,263268.332,-3379.36,49114.701,55055.246,0.54,0.46,NA,NA,0.219,0.924,0.075,0,0.206,3.233,47.231,1339.417,0.005,0.002,0.001,0,0.005,0.001,0.006,0.004,0.006
1970,louisiana,16258,812900,140183.965,52438.232,0.238,0.097,0.039,0.016,0.581,0.05,0.778,333922.476,295637.37,-3882.323,54929.353,71165.086,0.572,0.428,NA,NA,0.231,0.731,0.267,0,0.23,3.399,46.678,500.544,0.002,0.001,0,0,0.001,0,0.002,0.001,0.004
1970,maine,2945,147250,127893.894,57213.884,0.193,0.078,0.032,0.013,0.511,0.073,0.705,196444.806,289012.77,-1574.122,53742.422,61081.916,0.605,0.395,NA,NA,0.234,0.991,0.005,0,0.216,3.193,48.43,2813.791,0.013,0.005,0.002,0.001,0.011,0.002,0.014,0.01,0.012
1970,maryland,18437,921850,225379.413,87988.384,0.228,0.092,0.037,0.015,0.563,0.062,0.758,462348.535,483645.972,0,84723.418,87813.202,0.547,0.453,NA,NA,0.331,0.829,0.165,0,0.2,3.269,45.224,1357.705,0.001,0.001,0,0,0.003,0,0.002,0.001,0.002
1970,massachusetts,28290,1414500,210286.022,83463.631,0.227,0.092,0.037,0.015,0.555,0.059,0.761,472277.604,436019.116,0,74102.277,85878.879,0.502,0.498,NA,NA,0.294,0.964,0.031,0,0.24,3.128,48.561,2180.206,0.003,0.001,0.001,0,0.005,0.001,0.006,0.003,0.003
1970,michigan,42518,2125900,216565.636,106526.448,0.204,0.082,0.033,0.014,0.504,0.096,0.707,417208.132,432176.69,7135.28,78603.602,101515.251,0.704,0.296,NA,NA,0.256,0.884,0.111,0,0.191,3.3,46.565,903.868,0.001,0.001,0,0,0.002,0,0.003,0.001,0.003
1970,minnesota,14554,727700,205811.709,103870.225,0.199,0.081,0.033,0.013,0.497,0.093,0.703,399868,417720.334,5110.419,72458.288,97190.107,0.639,0.361,NA,NA,0.32,0.981,0.013,0,0.212,3.166,47.202,1791.946,0.003,0.001,0.001,0,0.004,0.001,0.005,0.003,0.005
1970,mississippi,3833,191650,113920.77,44400.931,0.222,0.09,0.036,0.015,0.569,0.055,0.761,274768.358,255164.786,-2847.933,47968.627,57227.903,0.594,0.406,NA,NA,0.242,0.671,0.327,0,0.237,3.407,47.983,1849.287,0.009,0.004,0.001,0.001,0.007,0.001,0.009,0.007,0.009
1970,missouri,21425,1071250,163437.502,69770.12,0.22,0.089,0.036,0.015,0.543,0.069,0.742,323817.61,338271.818,0,63223.164,69668.262,0.599,0.401,NA,NA,0.241,0.885,0.112,0,0.232,3.023,48.983,767.452,0.002,0.001,0,0,0.002,0,0.003,0.002,0.005
1970,nebraska,3430,171500,149213.694,66825.767,0.21,0.085,0.034,0.014,0.528,0.078,0.719,248357.708,315546.401,0,52498.824,55391.902,0.601,0.399,NA,NA,0.268,0.994,0.004,0,0.213,2.883,50.367,1545.456,0.005,0.002,0.001,0,0.005,0.001,0.006,0.004,0.008
1970,nevada,1551,77550,167661.272,81009.031,0.198,0.08,0.032,0.013,0.507,0.062,0.718,251755.801,366249.043,-8360.544,75841.209,94514.557,0.524,0.476,NA,NA,0.3,0.903,0.085,0,0.162,3.146,43.016,2464.276,0.007,0.003,0.001,0,0.007,0.001,0.009,0.005,0.007
1970,new hampshire,2424,121200,157260.142,76662.64,0.2,0.081,0.033,0.013,0.504,0.083,0.705,258030.092,325266.658,3583.045,66519.604,83278.442,0.604,0.396,NA,NA,0.29,0.993,0.006,0,0.189,3.222,46.743,2221.005,0.007,0.003,0.001,0,0.007,0.001,0.009,0.005,0.009
1970,new jersey,38932,1946600,274161.439,109070.576,0.229,0.093,0.038,0.015,0.562,0.063,0.784,1072056.148,571178.023,3766.744,81328.01,136523.688,0.56,0.44,NA,NA,0.266,0.898,0.098,0.001,0.203,3.178,48.019,8819.159,0.007,0.003,0.001,0,0.014,0.002,0.013,0.005,0.012
